category,type,value,date,additional_description
Aluguel,Despesa,16500.00,2025-01-01,Aluguel sede corporativa
Vendas de Software,Receita,18200.00,2025-01-01,Novo cliente varejo
Água/Luz,Despesa,4200.00,2025-01-05,
Assinatura SaaS,Receita,25400.00,2025-01-02,Renovação contrato anual
Folha de Pagamento,Despesa,73500.00,2025-01-05,Salários + benefícios
Vendas de Software,Receita,15700.00,2025-01-03,
Infraestrutura Cloud,Despesa,32500.00,2025-01-10,Migração para servidores dedicados
Assinatura SaaS,Receita,18900.00,2025-01-04,
Telefone/Internet,Despesa,2100.00,2025-01-07,
Vendas de Software,Receita,13400.00,2025-01-06,
Assinatura SaaS,Receita,21800.00,2025-01-08,Novo cliente startup
Marketing,Despesa,14700.00,2025-01-15,Campanha lançamento inverno
Vendas de Software,Receita,16500.00,2025-01-07,
Vendas de Software,Receita,14200.00,2025-01-09,
Assinatura SaaS,Receita,20300.00,2025-01-10,
Viagem Comercial,Despesa,8900.00,2025-01-22,Feira CES Las Vegas
Vendas de Software,Receita,23800.00,2025-01-11,Contrato corporativo
Assinatura SaaS,Receita,19100.00,2025-01-12,
Vendas de Software,Receita,12600.00,2025-01-13,
Assinatura SaaS,Receita,17400.00,2025-01-14,
Vendas de Software,Receita,15200.00,2025-01-16,
Assinatura SaaS,Receita,22700.00,2025-01-17,
Vendas de Software,Receita,16300.00,2025-01-18,
Assinatura SaaS,Receita,19800.00,2025-01-19,
Vendas de Software,Receita,14500.00,2025-01-20,
Assinatura SaaS,Receita,21100.00,2025-01-21,
Vendas de Software,Receita,17600.00,2025-01-23,
Assinatura SaaS,Receita,23400.00,2025-01-24,
Vendas de Software,Receita,12800.00,2025-01-25,
Assinatura SaaS,Receita,18700.00,2025-01-26,
Vendas de Software,Receita,15400.00,2025-01-27,
Assinatura SaaS,Receita,20200.00,2025-01-28,
Vendas de Software,Receita,16900.00,2025-01-29,
Assinatura SaaS,Receita,21600.00,2025-01-30,
Vendas de Software,Receita,18100.00,2025-01-31,
Manutenção,Despesa,6800.00,2025-01-25,Atualização firewall
Aluguel,Despesa,16500.00,2025-02-01,Aluguel sede corporativa
Assinatura SaaS,Receita,26800.00,2025-02-01,Renovação contrato enterprise
Vendas de Software,Receita,17400.00,2025-02-02,
Assinatura SaaS,Receita,23100.00,2025-02-03,
Vendas de Software,Receita,18900.00,2025-02-04,
Água/Luz,Despesa,4200.00,2025-02-05,
Folha de Pagamento,Despesa,73500.00,2025-02-05,Salários + benefícios
Assinatura SaaS,Receita,24500.00,2025-02-06,
Telefone/Internet,Despesa,2100.00,2025-02-07,
Vendas de Software,Receita,20300.00,2025-02-07,
Assinatura SaaS,Receita,21700.00,2025-02-08,
